productores_sociedad_matricula,productores_sociedad_tipo_id,productores_sociedad_id,productores_sociedad_denominacion,ramo
1,CUIT,30557497419,ROJAS Y GADANO S.A. ,Patrimoniales y Vida
3,CUIT,30572883562,HECTOR MARTINEZ SOSA Y CIA. S.A. ,Patrimoniales y Vida
8,CUIT,30574606132,ASESORA S.A. ,Patrimoniales y Vida
9,CUIT,30622065106,ASESORA SAN JUAN S.A. ,Patrimoniales y Vida
21,CUIT,30579629599,ANTONIO SASTRE E HIJOS S.R.L. ,Patrimoniales y Vida
30,CUIT,30619870855,DENNETT AYLING S.A. ,Patrimoniales y Vida
34,CUIT,30519288814,SURASSUR S.A. ,Patrimoniales y Vida
40,CUIT,30583985820,ACTUARIES S.A. ,Patrimoniales y Vida
44,CUIT,30537322221,MAC DONALD PRODUCTORES ASESORES DE SEGUROS S.C.A. ,Patrimoniales y Vida
47,CUIT,30515786046,MARSH S.A. ,Patrimoniales y Vida
54,CUIT,30596357543,BAERT CONSONNI Y ASOCIADOS S.A. ,Patrimoniales y Vida
59,CUIT,30541799725,WILLIS TOWERS WATSON ARGENTINA S.A. ,Patrimoniales y Vida
60,CUIT,30619469654,ASIFINA S.A. ,Patrimoniales y Vida
62,CUIT,30516385770,WHITE S.A. ,Patrimoniales y Vida
67,CUIT,33541990289,O'GRADY S.A. ,Patrimoniales y Vida
83,CUIT,30595473965,SAN SEGUR S.A. ,Patrimoniales y Vida
85,CUIT,30596860598,UNION ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
93,CUIT,30541336288,GAMASI S.A. ,Patrimoniales y Vida
95,CUIT,30582596146,BOLLINI ASESORES EN SEGUROS S.A. ,Patrimoniales y Vida
118,CUIT,30586324809,AVAL S.A. ,Patrimoniales y Vida
132,CUIT,30619742520,GEOAL S.A. ,Patrimoniales y Vida
133,CUIT,30572687054,ORGANIZACION P.A.S. S.A. ,Patrimoniales y Vida
137,CUIT,30588282380,SAN JORGE ASESORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
149,CUIT,30583602409,"FIAT CHRYSLER RIMACO ARGENTINA S,A, ",Patrimoniales y Vida
150,CUIT,30598040970,MARCA 5 ASESORES EN SEGUROS S.A. ,Patrimoniales y Vida
